NAZIV,TIP,IDENT,TIP_SIF,A_SIFRA,A_NAZIV,KOLIÈINA,ALT_STATUS,ALT_AKT,DODATEK1,POZICIJA,A_DATUM_S,EAN,ID_ART,OPIS,OPIS2,EM1,FAKTOR,FAKT_EXP,PAKIRANJE,PAKIRANJEX,KLASIF,SKUPINA1,SKUPINA2,SKUPINA3,SKUPINA4,TIP_ART,MIN_ZALOGA,SIG_ZALOGA,GRUPA,GRUPA_EKO,V_ZALOGE,V_A_ZALOGE,V_MINUS,SKLADIŠÈE,TEŽA,TIP_CENE,ID_NORM,N_ENOTA,AKTIVEN,UPORABNIK,DAT_VNOSA,UPORABNIKS,DAT_SPREME,PROIZVAJAL,POREKLO,LETO_UVOZA,DOBAVITELJ,DOBAVIT_ID,DOBAVIT_IM,LOKACIJA,DEKLARA,CARIN_STOP,V_SERIS,NAZIV_ENG,KN,KONKRETNO,LASTNOST,STANDARD,KONTO,PAR_A,PAR_B,PAR_C,PAR_D,PAR_E,KARTON,MARŽA,MIN_MARZA,ROK_IZD,SLED,PRIPADA_N,VN_STATUS,SIRINA,DOLZINA,VISINA,KALO,KALO_DEC,KVALITETA,ABC,KONTROLA_P,GARANCIJA,GARANCIJAE,ATEST,STATUS,FANTOMSKI,NORMFIXKOL,FANTOM_KOL,SLIKA_PATH,KONTO_KONS,NORM_AVTO,FIFO,STM,OPT_KOL,KARANTENA,OPT_ZALOGA,MAX_ZALOGA,NAB_LETKOL,OPT_CAS,NAB_STRNAB,NAB_STRSKL,NAB_POVPZA,KONTO2,PRET_CAS,KALK_CENA,NACIN_FAK,ROK_UPORAB,PLU_KODA,OPT_KOL_PA,VOLUMEN,DEKADA,DEKADA_FAK,LANSAZA,CARIN_KOM,NALEPKA,DODATEK21,DODATEK22,DODATEK23,DODATEK51,DODATEK52,DODATEK53,DODATEK_1,DODATEK_2,DODATEK_3,DODATEK_4,DODATEK_5,PAKIRANJEP,INTRASTAT,EM_DAN,EM_DAN_TIP,MIN_ZAL1,SIG_ZAL1,OPT_ZAL1,MAX_ZAL1,MIN_ZAL2,SIG_ZAL2,OPT_ZAL2,MAX_ZAL2,MIN_ZAL3,SIG_ZAL3,OPT_ZAL3,MAX_ZAL3,TEZA_B,ABC_P,KN_P,ID_ART2,NACRT,TIP_NARO,NARO_TIP,ID_KOL,IDENT_PAK,IDENT_PAK2,PAKIRANJE2,VARIANTA,ROK_IZD1,ROK_IZD2,ROK_IZD3,ABC_X,ABC_V,STANJE,STANJE_KDO,STANJE_CAS,SN,IDG,DODATEK24,DODATEK25,SPL_STRAN,
TK. PES 55/40 BT25 Š238,A,9946980,,9946182,TK. PES 55/40 BT25 Š240,1,84,,,,1,.  .       :  :,,9946980,TK.S KOV. NITMI VZ. IN PREÈNO 9945895-RAZVOJ IDENT,"VELIKOST KARE 2,5 X 2,5 CM;ŠIRINA 240 CM",M2,1,0, M2,1,202060000,1,,202,,POM,0,0,A,,D,N,N,,0,,,0,D,U5,29.07.2021 11:21,U5,6.10.2021 14:11,,,,,,,99,0,,N,,,N,,,31020,440792,,,,,,,N,,N,111112,,0,0,0,0,0,,,N,0,,,,,N,0,,,N,,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9946980,,,
TK. PES 55/40-240CM V0/V0 ELSINGHORST,A,9914811,,9924512,TK. PES 55/40-240CM Q3271 WILKIE,1,,,,2,.  .       :  :,,9914811,,,KOS,1,0,KOS,1,202010100,,,202,,POM,0,0,A,,D,,N,,0,,,0,D,VX,24.02.2005 14:52,Y4,15.07.2010 10:12,,,,,,,,0,54071000,N,,,,,,,,,,,,,,,,M,111112,,0,0,0,0,0,,,,0,,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9914811,,,,
TK. PES 55/40 - 240CM Q3209 T0/T0 WILKIE,A,9924862,,9924512,TK. PES 55/40-240CM Q3271 WILKIE,1,,,,1,.  .       :  :,,9924862,,,KOS,1,0,KOS,1,202010100,,,,,POM,0,0,A,,D,,N,,0,89,,,0,D,VX,16.07.2009 07:57,VX,3.03.2016 11:37,,GB,,,,,,0,54076110,N,,,,,,,,,,,,,,,,N,,,0,0,0,0,0,,,,0,,,I,,,0,,,,,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9924862,,,
TK. PES 55/40-240CM Q3271 WILKIE,A,9924512,,9914811,TK. PES 55/40-240CM V0/V0 ELSINGHORST,1,,,,2,.  .       :  :,,9924512,,,KOS,1,0,KOS,1,202010100,,,,,POM,0,0,A,,D,,N,,0,,,0,D,VX,26.05.2009 10:47,Y4,10.03.2010 08:47,,,,,,,,0,,N,,,,,,,,,,,,,,,,M,,,0,0,0,0,0,,,,0,,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9924512,,,,
TK. PES 55/40 - 240CM Q3209 T0/T0 WILKIE,A,9924862,,9914811,TK. PES 55/40-240CM V0/V0 ELSINGHORST,1,,,,2,.  .       :  :,,9924862,,,KOS,1,0,KOS,1,202010100,,,,,POM,0,0,A,,D,,N,,0,89,,,0,D,VX,16.07.2009 07:57,VX,3.03.2016 11:37,,GB,,,,,,0,54076110,N,,,,,,,,,,,,,,,,N,,,0,0,0,0,0,,,,0,,,I,,,0,,,,,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9924862,,,
TK. PES 55/45 - 230CM  K0NUS S,A,9941528,,9936825,TK. PES 55/45 - 224CM  KONUS S,1,,,,2,.  .       :  :,,9941528,1100DTEX , 117g/m2,,KOS,1,0,KOS,1,202010100,,,202,,POM,0,0,A,,D,,N,,0,,,0,D,U5,22.09.2017 10:22,VY,12.10.2022 08:17,,,,,,,,0,54071000,N,,,,,,,,,,,,,,,,N,111112,,0,0,0,0,0,,,,0,,,I,,,0,,,,,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9941528,,,
FLIS/S 8230 250/2,4/230,9947150,9947150,,9936825,TK. PES 55/45 - 224CM  KONUS S,1,,,,1,.  .       :  :,,9947150,FLIS S TK ZA TCP 500, POLAGANJE,,KOS,1,0,KOS,1,102070000,,,,S21,POL,0,0,A,,D,,N,22210,0,,NT9947150/0001,1,D,VY,27.10.2021 09:08,ZD,20.07.2022 13:38,,,,,,,,0,,N,,,,,,,,,,,,,,,,S,111121,,0,0,0,0,0,,,,0,,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,,0,22,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9947150,
TK. PES 55/45 - 230CM  K0NUS S,A,9941528,,9941120,TK. PES 55/45 - 226CM  K0NUS S,1,,,,1,.  .       :  :,,9941528,1100DTEX , 117g/m2,,KOS,1,0,KOS,1,202010100,,,202,,POM,0,0,A,,D,,N,,0,,,0,D,U5,22.09.2017 10:22,VY,12.10.2022 08:17,,,,,,,,0,54071000,N,,,,,,,,,,,,,,,,N,111112,,0,0,0,0,0,,,,0,,,I,,,0,,,,,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9941528,,,
TK. PES 55/45 - 224CM  KONUS S,A,9936825,,9941120,TK. PES 55/45 - 227CM  K0NUS S,1,1339,,,,2,.  .       :  :,,9936825,1100DTEX , 117g/m2,,KOS,1,0,KOS,1,202010100,,,202,,POM,0,0,A,,D,,N,,0,,,0,D,U5,3.07.2014 15:14,VY,30.01.2023 12:01,,,,,,,,0,54071000,N,,,,,,,,,,,,,,,,B,111112,,0,0,0,0,0,,,,0,,,I,,,0,,,,F,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9936825,,
TK. PES 55/45 - 230CM  K0NUS S,A,9941528,,9941120,TK. PES 55/45 - 227CM  K0NUS S,1,,,,4,.  .       :  :,,9941528,1100DTEX , 117g/m2,,KOS,1,0,KOS,1,202010100,,,202,,POM,0,0,A,,D,,N,,0,,,0,D,U5,22.09.2017 10:22,VY,12.10.2022 08:17,,,,,,,,0,54071000,N,,,,,,,,,,,,,,,,N,111112,,0,0,0,0,0,,,,0,,,I,,,0,,,,,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9941528,,,
TK. PES 55/45 - 227CM  K0NUS S (SILON),A,9946812,,9941120,TK. PES 55/45 - 227CM  K0NUS S,1,,,,2,.  .       :  :,,9946812,TK. ZA SILON, 1100DTEX , 117g/m2,ZA TCP 500/14 in PE 680,KOS,1,0,KOS,1,202010100,,,202,,POM,0,0,A,,D,,D,,0,,,0,D,VY,8.06.2021 12:53,VY,12.01.2022 11:00,,,,,,,,0,54071000,N,,,,,,,,,,,,,,,,B,111112,,0,0,0,0,0,,,,0,,,I,,,0,,,,F,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9946812,,
TK. PES 55/45 - 224CM  KONUS S,A,9936825,,9948050,TK. PES 55/45 - 227CM KONUS S OPL,1,1339,,,,3,.  .       :  :,,9936825,1100DTEX , 117g/m2,,KOS,1,0,KOS,1,202010100,,,202,,POM,0,0,A,,D,,N,,0,,,0,D,U5,3.07.2014 15:14,VY,30.01.2023 12:01,,,,,,,,0,54071000,N,,,,,,,,,,,,,,,,B,111112,,0,0,0,0,0,,,,0,,,I,,,0,,,,F,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9936825,,
TK. PES 55/45 - 227CM  K0NUS S,A,9941120,,9948050,TK. PES 55/45 - 227CM KONUS S OPL,1,,,,2,.  .       :  :,,9941120,1100DTEX , 117g/m2,,KOS,1,0,KOS,1,202010100,,,202,,POM,0,0,A,,D,,N,,0,,,0,D,U5,8.05.2017 13:47,UF,4.11.2022 09:31,,,,,,,,0,54071000,N,,,,,,,,,,,,,,,,B,111112,,0,0,0,0,0,,,,0,,,I,,,0,,,,F,,0,0,0,75969,33333,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9941120,,
TK. PES 55/45 - 227CM  K0NUS S,A,9941120,,9941528,TK. PES 55/45 - 230CM  K0NUS S,1,1322,,,,1,.  .       :  :,,9941120,1100DTEX , 117g/m2,,KOS,1,0,KOS,1,202010100,,,202,,POM,0,0,A,,D,,N,,0,,,0,D,U5,8.05.2017 13:47,UF,4.11.2022 09:31,,,,,,,,0,54071000,N,,,,,,,,,,,,,,,,B,111112,,0,0,0,0,0,,,,0,,,I,,,0,,,,F,,0,0,0,75969,33333,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9941120,
TK. PES 55/45 - 227CM  K0NUS S (SILON),A,9946812,,9941528,TK. PES 55/45 - 230CM  K0NUS S,1,13,,,,1,.  .       :  :,,9946812,TK. ZA SILON, 1100DTEX , 117g/m2,ZA TCP 500/14 in PE 680,KOS,1,0,KOS,1,202010100,,,202,,POM,0,0,A,,D,,D,,0,,,0,D,VY,8.06.2021 12:53,VY,12.01.2022 11:00,,,,,,,,0,54071000,N,,,,,,,,,,,,,,,,B,111112,,0,0,0,0,0,,,,0,,,I,,,0,,,,F,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9946812,
FLIS/S 8230 250/2,4/230,9947150,9947150,,9941528,TK. PES 55/45 - 230CM  K0NUS S,1,,,,2,.  .       :  :,,9947150,FLIS S TK ZA TCP 500, POLAGANJE,,KOS,1,0,KOS,1,102070000,,,,S21,POL,0,0,A,,D,,N,22210,0,,NT9947150/0001,1,D,VY,27.10.2021 09:08,ZD,20.07.2022 13:38,,,,,,,,0,,N,,,,,,,,,,,,,,,,S,111121,,0,0,0,0,0,,,,0,,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,,0,22,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9947150,
TK. PES 55/45 - 227CM  K0NUS S,A,9941120,,9948052,TK. PES 55/45 - 230CM KONUS S OPL,1,1322,,,,3,.  .       :  :,,9941120,1100DTEX , 117g/m2,,KOS,1,0,KOS,1,202010100,,,202,,POM,0,0,A,,D,,N,,0,,,0,D,U5,8.05.2017 13:47,UF,4.11.2022 09:31,,,,,,,,0,54071000,N,,,,,,,,,,,,,,,,B,111112,,0,0,0,0,0,,,,0,,,I,,,0,,,,F,,0,0,0,75969,33333,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9941120,
TK. PES 55/45 - 230CM  K0NUS S,A,9941528,,9948052,TK. PES 55/45 - 230CM KONUS S OPL,1,,,,5,.  .       :  :,,9941528,1100DTEX , 117g/m2,,KOS,1,0,KOS,1,202010100,,,202,,POM,0,0,A,,D,,N,,0,,,0,D,U5,22.09.2017 10:22,VY,12.10.2022 08:17,,,,,,,,0,54071000,N,,,,,,,,,,,,,,,,N,111112,,0,0,0,0,0,,,,0,,,I,,,0,,,,,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9941528,,,
TK. PES 55/40 - 238CM/K.Š.215 KONUS S,A,9944500,,9946978,TK. PES 55/45 - 235CM KONUS S,0,98739,,,,2,.  .       :  :,,9944500,1100DTEX , 110 g/m2,,KOS,1,0,KOS,1,202010100,,,202,,POM,0,0,A,,D,N,N,,0,,,0,D,U5,15.10.2019 14:56,VY,14.10.2022 11:11,,,,,,,,0,54071000,N,,,,,,31020,,,,,,,,N,,B,,,0,0,0,0,0,,,,0,,,I,,,0,,,,F,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9944500,,
TK. PES 55/45 - 235CM KONUS S,A,9946978,,9948053,TK. PES 55/45 - 235CM KONUS S OPL,1,,,,2,.  .       :  :,,9946978,1100DTEX , 117g/m2,,KOS,1,0,KOS,1,202010100,,,202,,POM,0,0,A,,D,,N,,0,,,0,D,U5,29.07.2021 10:46,VY,12.05.2023 14:06,,,,,,,,0,54071000,N,,,,,,,,,,,,,,,,N,111112,,0,0,0,0,0,,,,0,,,,,,0,,,,,,0,0,0,164030,2,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9946978,,
TK. PES 55/45 - 240CM/K.Š.215 KONUS-S,A,9936441,,9944967,TK. PES 55/45 - 238CM/K.Š.215 KONUS S,1,,,,1,.  .       :  :,,9936441,1100DTEX , 117g/m2,,KOS,1,0,KOS,1,202010100,,,202,,POM,0,0,A,,D,,D,,0,,,0,D,U5,7.04.2014 08:49,VY,28.09.2022 15:28,,,,,,,,0,54071000,N,,,,,,,,,,,,,,,,B,111112,,0,0,0,0,0,,,,0,,,,,,0,,,,F,,0,0,0,43759,99995,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9936441,,
TK. PES 55/40 - 240CM Q3240 WILKIE,A,9905450,,9936441,TK. PES 55/45 - 240CM  TATKO,1,,,,2,.  .       :  :,,9905450,,PROIZVAJALEC WILKIE,M2,1,0,KOS,1,202010100,1,,202,,POM,0,0,A,,D,,N,22210,0,,,0,D,VL,18.06.2001 09:17,UZ,20.10.2021 13:04,,,,,,,,0,,N,,,,,,31020,9905450,,,,,,,N,,N,111112,,0,0,0,0,0,,,,0,,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9905450,,,,
TK. PES 55/40 - 240CM  MAJŠPERK,A,9924261,,9936441,TK. PES 55/45 - 240CM  TATKO,1,,,,3,.  .       :  :,,9924261,1100DTEX , 110 g/m2,,KOS,1,0,KOS,1,202010100,,,202,,POM,0,0,A,,D,,N,,0,,,0,D,U5,6.04.2009 12:47,U5,12.02.2015 13:20,,,,,,,,0,54071000,N,,,,,,,,,,,,,,,,S,,,0,0,0,0,0,,,,0,,,,,,0,,,,F,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9924261,,,
TK. PES 55/30 - 238CM Q3308 WILKIE,A,9924309,,9936441,TK. PES 55/45 - 240CM  TATKO,1,,,,2,.  .       :  :,,9924309,TK.ZA FILTRE,PROIZVAJALEC WILKIE,KOS,1,0,KOS,1,202010100,,,,,POM,0,0,A,,D,,N,,325,,,0,D,U5,15.04.2009 09:30,U5,3.05.2018 12:37,,GB,,,,,,0,54071000,N,,,,,,,,,,,,,,,,N,,,0,0,0,0,0,,,,0,,,I,,,0,,,,,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9924309,,,,
TK. PES 55/35 - 240CM/K.Š.215 KONUS-S,A,9930334,,9936441,TK. PES 55/45 - 240CM  TATKO,1,,,,1,.  .       :  :,,9930334,1100DTEX , 95g/m2,,KOS,1,0,KOS,1,202010100,,,202,,POM,0,0,A,,D,,N,,0,,,0,D,U5,5.09.2011 13:19,Y9,3.02.2020 08:53,,,,,,,,0,54071000,N,,,,,,,,,,,,,,,,N,111112,,0,0,0,0,0,,,,0,,,,,,0,,,,F,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9930334,,,
TK. PES 55/40 - 240CM  KONUS S,A,9937865,,9936441,TK. PES 55/45 - 240CM  TATKO,1,,,,2,.  .       :  :,,9937865,1100DTEX , 110 g/m2,,KOS,1,0,KOS,1,202010100,,,202,,POM,0,0,A,,D,N,D,,0,,,0,D,U5,5.02.2015 10:59,VX,8.06.2020 13:59,,,,,,,,0,54071000,N,,,,,,31020,,,,,,,,N,,B,,,0,0,0,0,0,,,,0,,,,,,0,,,,F,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9937865,,,
TK. PES 55/45 - 235CM KONUS S DX,A,9948453,,9948456,TK. PES 55/45 - 240CM KONUS S DX,1,2128,,,,1,.  .       :  :,,9948453,DX (neustrezna kvaliteta),1100 dtex Franke,KOS,1,0,KOS,1,202010100,,,202,,POM,0,0,A,,D,,N,,0,,,0,D,VY,14.12.2022 11:51,VY,27.02.2023 14:41,,,,,,,,0,54071000,N,,,,,,,,,,,,,,,,N,111112,,0,0,0,0,0,,,,0,,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9948453,,,
TK. PES 55/45 - 240CM/K.Š.215 KONUS-S,A,9936441,,9948043,TK. PES 55/45 - 240CM KONUS S OPL,1,,,,3,.  .       :  :,,9936441,1100DTEX , 117g/m2,,KOS,1,0,KOS,1,202010100,,,202,,POM,0,0,A,,D,,D,,0,,,0,D,U5,7.04.2014 08:49,VY,28.09.2022 15:28,,,,,,,,0,54071000,N,,,,,,,,,,,,,,,,B,111112,,0,0,0,0,0,,,,0,,,,,,0,,,,F,,0,0,0,43759,99995,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9936441,,
TK. PES 55/45 - 235CM KONUS S,A,9946978,,9948043,TK. PES 55/45 - 240CM KONUS S OPL,1,2128,,,,4,.  .       :  :,,9946978,1100DTEX , 117g/m2,,KOS,1,0,KOS,1,202010100,,,202,,POM,0,0,A,,D,,N,,0,,,0,D,U5,29.07.2021 10:46,VY,12.05.2023 14:06,,,,,,,,0,54071000,N,,,,,,,,,,,,,,,,N,111112,,0,0,0,0,0,,,,0,,,,,,0,,,,,,0,0,0,164030,2,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9946978,
TK. PES 55/45 - 240CM/K.Š.215 KONUS-S,A,9936441,,9947214,TK. PES 55/45 - 240CM SUMTEX,1,,,,2,.  .       :  :,,9936441,1100DTEX , 117g/m2,,KOS,1,0,KOS,1,202010100,,,202,,POM,0,0,A,,D,,D,,0,,,0,D,U5,7.04.2014 08:49,VY,28.09.2022 15:28,,,,,,,,0,54071000,N,,,,,,,,,,,,,,,,B,111112,,0,0,0,0,0,,,,0,,,,,,0,,,,F,,0,0,0,43759,99995,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9936441,,
TK. PES 55/45 - 238CM/K.Š.215 KONUS S,A,9944967,,9947214,TK. PES 55/45 - 240CM SUMTEX,1,,,,2,.  .       :  :,,9944967,1100DTEX , 110 g/m2,,KOS,1,0,KOS,1,202010100,,,202,,POM,0,0,A,,D,N,N,,0,,,0,X,U5,21.02.2020 14:23,UZ,22.09.2022 14:40,,,,,,,,0,54071000,N,,,,,,31020,,,,,,,,N,,N,,,0,0,0,0,0,,,,0,,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9944967,,,
TK. PES 55/45 - 235CM KONUS S,A,9946978,,9947214,TK. PES 55/45 - 240CM SUMTEX,1,2128,,,,1,.  .       :  :,,9946978,1100DTEX , 117g/m2,,KOS,1,0,KOS,1,202010100,,,202,,POM,0,0,A,,D,,N,,0,,,0,D,U5,29.07.2021 10:46,VY,12.05.2023 14:06,,,,,,,,0,54071000,N,,,,,,,,,,,,,,,,N,111112,,0,0,0,0,0,,,,0,,,,,,0,,,,,,0,0,0,164030,2,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9946978,
TK. PES 55/40 - 238CM/K.Š.215 KONUS S,A,9944500,,9936441,TK. PES 55/45 - 240CM/K.Š.215 KONUS-S,1,84,,,,3,.  .       :  :,,9944500,1100DTEX , 110 g/m2,,KOS,1,0,KOS,1,202010100,,,202,,POM,0,0,A,,D,N,N,,0,,,0,D,U5,15.10.2019 14:56,VY,14.10.2022 11:11,,,,,,,,0,54071000,N,,,,,,31020,,,,,,,,N,,B,,,0,0,0,0,0,,,,0,,,I,,,0,,,,F,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9944500,,
TK. PES 55/45 - 238CM/K.Š.215 KONUS S,A,9944967,,9936441,TK. PES 55/45 - 240CM/K.Š.215 KONUS-S,1,,,,1,.  .       :  :,,9944967,1100DTEX , 110 g/m2,,KOS,1,0,KOS,1,202010100,,,202,,POM,0,0,A,,D,N,N,,0,,,0,X,U5,21.02.2020 14:23,UZ,22.09.2022 14:40,,,,,,,,0,54071000,N,,,,,,31020,,,,,,,,N,,N,,,0,0,0,0,0,,,,0,,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9944967,,,
TK. PES 55/45 BT Š.238 KONUS S,A,9945419,,9936441,TK. PES 55/45 - 240CM/K.Š.215 KONUS-S,1,,,,4,.  .       :  :,,9945419,TKANINA S KOVINSKIMI NITMI VZOLŽNO IN PREÈNO,,M2,1,0, M2,1,202060000,1,,202,,POM,0,0,A,,D,N,N,,0,,,0,X,U5,5.06.2020 08:19,UZ,22.09.2022 14:47,,,,,,,99,0,,N,,,N,,,31020,440792,,,,,,,N,,N,111112,,0,0,0,0,0,,,N,0,,,,,N,0,,,N,,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9945419,,,,
TK. PES 55/45 - 242CM KONUS S,A,9946937,,9936441,TK. PES 55/45 - 240CM/K.Š.215 KONUS-S,0,9917,,,,1,.  .       :  :,,9946937,1100DTEX , 117 g/m2,,KOS,1,0,KOS,1,202010100,,,202,,POM,0,0,A,,D,N,N,,0,,,0,D,U5,20.07.2021 10:13,VY,11.05.2023 15:16,,,,,,,,0,54071000,N,,,,,,31020,,,,,,,,N,,N,,,0,0,0,0,0,,,,0,,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,0,,,,,,,,,,0,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,.  .       :  :,,9946937,,
